grsItemDispAuth,grsItemTitle,grsItemDescription,grsItemRetention,grsItemDateApproved,grsItemRevision,grsItemCategories
GRS-618,"Women, infants, and children (wic) children's participant files","These files document the participation of children in the Women, Infants, and Children (WIC) Program. The purpose of the program is to provide supplemental foods and nutrition education to low income families in accordance with the provisions of 7 CFR 246?(1993). This program is open to children between the ages of one and five. These files include the nutritional education record, lost or stolen WIC Voucher/ID Card Report, WIC certification form, nutrition care plan, nutrition education information, WIC participant responsibilities agreement, turnaround change order, family enrollment form, growth charts, infant/child medical history, nutrition history, and correspondence.","Retain for 10 years after date of birth, and then destroy records.",1992-12-01,Current,Health
GRS-550,Drinking water systems survey,"These surveys record the inspections of water tanks for proper security, sanitation, proper maintenance, sanitation, and chlorine levels to guarantee water quality. The survey forms include date, name and address of owner, location of water system, results of inspection, and signature of sanitarian.","Retain until final action, and then destroy records.",1992-12-01,Current,Health
GRS-599,School students immunization assessment annual report,"These forms document surveys taken by schools or local health departments of children entering kindergarten and child care to determine immunization status. Copies of the forms are sent to the State Department of Health. The forms include name of facility and responsible party, number enrolled in kindergarten or day care, number of children with immunization cards or records turned in to the school, number of children with no record, number of children adequately immunized, number of exemptions (medical, religious, personal), and total number of exemptions. These records are also called Preschool immunization survey sheets.","Retain for 2 years, and then destroy records.",1992-12-01,Current,Health
GRS-624,Mosquito bite count reports,"These are reports used by the field director to determine if mosquitoes in a specific area are creating a problem for the public. This report includes date, time, area, species and number, total count, hour of the day, temperature, wind condition, and collector.","Retain for 3 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-640,County fair judges records,"These records document the participants in events at county fairs. and indicate the ratings and premiums given. Information includes the name of the participants, the name of the animal or item on exhibit, the rating, and the amount of premium awarded.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Parks and Recreation
GRS-604,Swimming pool bacteriological analyses results,"These are test results for the inspection of public swimming pools to ensure that they comply with the requirements of UCA? 26-15-2(2)?(2007). These results include the county name, water supply source, the date the sample was collected, the lab number where tested, the individual name collecting the sample, and the test results.","Retain for 4 years, and then destroy records.",1992-12-01,Current,Health
GRS-633,Light trap report,"These reports document the number of mosquitoes that are trapped each night in light traps. This information is used to determine spraying success and whether spraying should be repeated. The reports include date and time, location, truck number, trap number, date, weather conditions, and number of mosquitoes trapped.","Retain for 2 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-725,Planning and cadastre records,"These geospatial records contain information pertaining to reference locations (or points on the earth), parcel boundaries, parcel identifiers, parcel addresses, owner types, county recorder contact information, and planning and zoning data.",Permanent. Retain for 1 year. Records may be transferred to the archives.,2009-04-01,Current,Geospatial Data Sets
GRS-785,Municipal bond registration files,These are the issuing agent's copies of bond registration stubs.,"Retain for 2 years, and then destroy records.",1989-03-01,Current,Bonds and Bonding
GRS-642,Premium books,"These books are generated for each county fair and used by exhibitors to determine entry procedures. The premium book states the types of categories for entry and the rules to win. They are sent to previous-year exhibitors and specific requesters. The information in the book includes entry dates, fees, map of fairgrounds, entry blanks, scheduled entertainers, information on contests, and classes available for entry.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Parks and Recreation
GRS-715,Gas emissions monitoring report,"This is a quarterly report of gas emisions from the landfill in accordance Utah Administrative Code, R315-302.2(3)(a)(iv) (2013). Includes inspector's name, date, monitoring levels at various locations of landfill, comments and signature of inspector.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Solid Waste
GRS-732,Tax redemption records,"These records document the payment of delinquent taxes. Information includes taxes and penalties owed and paid, and related records. These are not legal evidence of property ownership.","Retain for 5 years, and then destroy records.",2016-03-01,Current,Elected office
GRS-889,Emergency and other personal leave files,"These records show the name of employee, dates of absence, explanation of emergency, signature of employee taking emergency leave, and signature of supervisor.","Retain for 4 years, and then destroy records.",1997-12-01,Current,Human Resources
GRS-717,Inspection notification report,"This inspection report notifies landfill whether material was incorrectly rejected or hauler incorrectly charged. It is used to correct errors and to improve operating procedures. It includes date and time, inspector's name, location, hauler, license/truck number, transaction number, vehicle, material, contact phone number, whether an adjustment is to be made, tip fee, pictures (y/n), and any relevant comments.","Retain for 3 years, and then destroy records.",1995-11-01,Current,Solid Waste
GRS-891,Exempt employee performance-related records,"These files document the performance of exempt employees. They may include performance records superseded through an administrative, judicial, or quasi-judicial procedure; performance appraisals along with job elements and standards upon which they are based; and supporting documentation.","Retain for 5 years, and then destroy records.",1997-12-01,Current,Human Resources
GRS-1010,Municipal appointment files,"These files document the appointment of persons to advisory boards and committees established by the City Council or Mayor, usually by resolution, or policy and procedure. These files may include letters of recommendation, letters of appointment, resumes, and related correspondence.",Retain permanently. Records may be transferred to the archives.,1996-12-01,Current,Clerk
GRS-1124,Discharge monitoring and water reclamation plant reports,"These are monthly and quarterly reports on the daily operations of treatment plants. They are submitted to the State Bureau of Water Pollution and to the Environmental Protection Agency (EPA). These reports are a record of the average amount of pollution discharged into the waters of the municipality from National Pollutants Discharge Elimination System (NPDES) permit holders. They document the daily operations of the Water Reclamation Plant such as sewage flow, grit removal, chlorine usage, residuals, digester gas products, and lab analytical results (40 CFR 122.41(j)(2) (2006)).","Retain for 5 years, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-949,Protest files,These are written protests by owners of property to be assessed in a special improvement district. The governing body hears protests and approves changes or cancels districts.,"Retain for 2 years after resolution of issue, and then destroy records.",1989-03-01,Current,Special Assessment
GRS-1131,Meter location records,"These records contain information about all meters (water and electric). They are used to locate meters for service and billings. They include address, work order number, size of meter, contractor, owner, plumber and date installed.","Retain for 1 year after final action, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1167,Street name and house number files,"These files contain records relating to street dedications, street closings, the assignment and alternation of street names and house numbers and similar records. They provide official control of the naming and numbering of municipal streets and roads.",Retain permanently. Transfer records to the archives.,1989-09-01,Current,Public Works
GRS-1302,Equipment inventories files,"These files contain the annual inventory of equipment, supplies and other items owned or administered by the governmental entity.","Retain for 1 year after superseded, and then destroy records.",1996-12-01,Current,Facility Management
GRS-1121,Daily filter log,This log records a daily instrument table of information regarding filter operations required by UCA 26-12-1 et. seq.,"Retain for 5 years, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1148,"Class ""c"" road funding project files","These project files document the funding for Class ""C"" roads. CLass ""C"" funding is money allocated to each municipality from the Transportation Fund ""under rules made by the department"" (of Transportation) (UCA 72-2-108 (2008)). The files include amount of funds allocated and how they were spent for each project (man-hours, vehicle usage, and material used).","Retain for 3 years, and then destroy records.",1989-09-01,Current,Public Works
GRS-1220,Fire code inspection records,"These files document the fire inspection of all businesses and apartment buildings. They are used to determine compliance to fire codes for fire prevention purposes. They include correspondence, copy of business license, brief history of building, notices of violations, citations, inspection of reports, and various inspection forms.","Retain for 4 years, and then destroy records.",1997-12-01,Current,Fire Department
GRS-1316,School general ledgers,These are summaries showing receipts and disbursements of each department or school. May also include documentation from subsidiary ledgers to general ledger and accounting adjustments in the form of general entries.,"Retain for 10 years, and then destroy records.",1996-12-01,Current,Financial Management
GRS-958,Engineer daily log books,These daily log books are kept by inspectors and project engineers on the progress of each airport construction as required by the Federal Aviation Administration (FAA). They are used for verification purposes of what happened on a particular day.,"Retain for 7 years after end of project or program, and then destroy records.",1989-07-01,Current,Airport
GRS-1122,Daily operational log,"This log records daily information on plant operations such as rate of flow, chemical inventories, chemicals used, chlorine residual testing results, and turbidity amount in water. It is required by 40 CFR 130.4. An annual summary is submitted to the State Health Department.","Retain for 2 years, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1134,Water flow weekly recorder charts,"These charts are taken from recording stations in streams or wells for weekly periods. They are used to determine water flows. The charts include water flow according to gauge flows, height, or level of aquifer in well, during a weekly period.","Retain for 3 years, and then destroy records.",1997-12-01,Current,Public Utilities
GRS-1155,Municipal intersection case files,"These files record data on all municipal streets. They are used by traffic engineers and technicians when investigating a particular intersection to determine appropriate traffic regulations. They contain traffic volume (counts taken either mechanically or manually), requests or complaints received which required a study and response concerning specific intersections and work order outline to be done at specific intersections, and a traffic accident history.","Retain for 7 years, and then destroy records.",1989-09-01,Current,Public Works
GRS-1136,Sewer main location plats,"These are plat drawings of each municipal street detailing all sewer mains in the municipality system by area number. They are used to locate sewer mains. The plats include drawings of all sewer mains in municipal system showing depth of sewer mains, percentage of grade, location of lateral connections and sewer manholes, and size of lines.","Retain until superseded, and then destroy records.",1989-12-01,Current,Public Utilities
GRS-1253,Equipment standards guide,"These are standards developed for equipment purchases. They are used to ensure the most efficient expenditure of district funds. The standards are normally organized by subject and include an item-by-item description, estimated or guaranteed price, and quantity allowed.","Retain for 1 year, and then destroy records.",1996-12-01,Current,Administrative
GRS-1390,Block history monthly reports,These monthly reports provide geographic projections on student enrollment. They are printed as needed and are used for future planning. The reports contain the number of people living on each block (or grid) within city or county and the number of school age per block (or grid).,"Retain until superseded, and then destroy records.",1997-06-01,Current,Education
GRS-1437,Student employee files,"These files document students temporarily hired by the school district for groundskeeping, building maintenance, answering telephones, and office assistance. They include application, evaluation, work schedule,and related correspondence.","Retain for 1 year after separation, and then destroy records.",1998-05-01,Current,Human Resources
GRS-1285,School bond issue files,"These files document the implementation of significant school district bonds. These files include authorizations supporting financial data, contracts or sales agreements, destruction certificates, and sample copies of bonds sold as evidence of school district indebtedness.","Retain for 10 years after final action, and then destroy records.",1996-12-01,Current,Bonds and Bonding
GRS-1440,Lane change records,"These records document requests for lane changes for additional training received. Guidelines have been established providing specific criteria for course acceptance. Prior approval is required for unauthorized classes or seminars. The requests are reviewed by a district committee and are either approved, denied or request additional information. The records include the request, the committee review and decision, and if approved date training completed. These records may be filed in the personnel file.","Retain for 5 years, and then destroy records.",1998-05-01,Current,Human Resources
GRS-1505,Student permission and passes,These records document parent or guardian consent for their student to participate in an activity or leave school during school hours.,"Retain for 1 year, and then destroy records.",2013-08-01,Current,Education
GRS-1489,School compliance certification forms,"These records are submitted to the State Office of Education (USOE)in accordance with UCA 53A-3-403(4) (2004). Individual school principals submit information to the District which is then compiled and submitted to the USOE on school fee waivers. The forms include names of superintendent and school board president, district's fee schedule, fee policy, fee waiver policy, and community service policy.","Retain for 5 years, and then destroy records.",1998-10-01,Current,Education
GRS-1529,Graduation programs,"These are programs for graduations. The programs include high school or college, date, time and location of the commencement ceremonies, scheduled program, lists of honor graduates, and listing of all graduates.",Retain permanently. Records may be transferred to the archives.,2000-02-01,Current,"Colleges and Universities,Education"
GRS-1700,Conference sponsorship files,"Records created by an agency sponsoring a conference, workshop, or seminar. Information may include copies of conference agenda, programs, brochures, reports, advertising information for the conference, presentations, speeches, significant correspondence, and related material.",Retain permanently. Records may be transferred to the archives.,2001-10-01,Current,Administrative
GRS-1517,Bus transportation rules and regulations,"These rules and regulations document parents'/guardian's receipt and approval of acceptable student behavior on school buses. They are sent home at the beginning of each school year to inform parents of the district policies. One copy is retained by the parents for reference while a signed copy is returned to the school where it is retained on file. They include the rules and regulations, parents' and students' signatures, and date.","Retain for 1 year, and then destroy records.",1999-10-01,Current,Education
GRS-1534,Lunch room summary of meals served report,"This monthly sheet records all meals served. It is used to create quarterly and annual reports. It contains a breakdown of a la carte items, milk and meals served by category (free, reduced, paid, adult). 

","Retain for 3 years, and then destroy records.",1999-06-01,Current,Education
GRS-1784,Natural disaster and damage survey of public buildings,Survey and analysis of damage done to public buildings during natural disasters.,Permanent. Retain for 10 years. Transfer records to the archives.,1990-07-01,Current,Facility Management
GRS-1900,Retroactive pay requests for state employees,"Records which document requests for retroactive payments to state employees, such as when a pay increase was not made in a timely manner. Information includes name, low organization number, social security number, effective date, number of regular hours, and new hourly rate. These records are kept for audit purposes. The actual retroactive payment is part of the master payroll files maintained by the Division of Finance.","Retain for 3 years, and then destroy records.",1996-08-01,Current,Payroll
GRS-1538,Monthly department of agriculture food usage sheet,"This monthly sheet serves as an on-going inventory on the usage of U.S.?Department of Agriculture (USDA) food. The sheet is provided to the elementary school and lists food totals. The school maintains the inventory and submits it to the district office at the end of each month listing all USDA food received, amounts used, and inventories on hand. It is used to compile reports.","Retain for 1 year, and then destroy records.",1999-06-01,Current,Education
GRS-1734,Substance use disorder records,"These records document the planning and treatment of substance use disorder clients. Information includes assessments, evaluations, clinical and physician notes, employment records, visiting arrangements, and related records.","Retain for 10 years after case is closed, and then destroy records.",2017-07-01,Current,Administrative
GRS-1797,Bank daily totals,Daily report from bank that is used for reconciliation.,"Retain for 1 year, and then destroy records.",1996-12-01,Current,Financial Management
GRS-1987,Supply management files,Files of reports on supply requirements and procurement matters submitted for supply management purposes (other than those incorporated in case files or other files of a general nature).,"Retain for 2 years, and then destroy records.",1990-07-01,Current,Purchasing
GRS-2028,Arrest records,"These are records of prisoners confined in jail. They include the prisoner's name, alias, sheriff's office number, booking number, offense, address, arresting officer's name, date committed , term of sentence, and discharge date.","Retain for 10 years, and then destroy records.",2015-08-01,Current,Law Enforcement
GRS-2043,Financial aid records,These records document students' applications and awards of financial aid. Information necessary to support the borrower's eligibility and participation is included.,"Retain for 5 years after separation, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-1992,Surplus property forms,Any completed forms required by the Division of Surplus Property to dispose of property an agency wishes to surplus.,"Retain for 2 years after disposition of asset, and then destroy records.",2006-04-01,Current,Facility Management
GRS-2045,Student housing records,"These records document the occupancy of student residences. Information includes residence hall or apartment applications, contracts, accounting records, maintenance, and related information.","Retain for 3 years after expiration of contractual agreement, and then destroy records.",2017-09-01,Current,Colleges and Universities
GRS-207,Mobile home assessment records,"These records are tax assessments on mobile homes. They include the owner's name, taxing district, account number, address, make, model, location, vehicle identification number, cost and percentage of assessment, a record of payment and sometimes a picture of the unit.","Retain for 6 years after final action, and then destroy records.",1991-06-01,Current,Assessor
GRS-228,Official county levy records,"These files contain various forms which report to the county auditor the official levies set by the county commission, city councils, school boards, and special district directors. Includes the names of the government entity, year, purpose of levy, legal authorization, mills levied, total levy, certification by taxing unit (date and authorizing signature), and certification by county auditor. Attached to these forms are all necessary back up information.","Retain for 10 years, and then destroy records.",1991-03-01,Current,Auditor
GRS-293,Condominium filings and indexes,"The county recorder is required to maintain an index ""whereby the record of each condominium project contains a reference to the declaration, each conveyance of, lien against, and all other instruments referring to a unit affected by such declaration, and the record of each conveyance of, lien against, and all other instruments referring to a unit shall contain a reference to the declaration of the property of which the unit is a part"" (UCA? 57-8-12(2)?(2004)).",Retain permanently. Transfer records to the archives.,1991-09-01,Current,Recorder
GRS-208,Business personal property affidavits,"These are forms sent to businesses to report personal property. In some counties the form is returned to the county assessor for computation of tax, in others, taxpayer computes his own taxes and return payment with form. The affidavits include serial number, taxable property location, equipment listing, trade fixtures, other personal equipment, purchase price, rented and leased equipment listings, rent/lease payments, business license number, and sales tax number or taxpayer number.","Retain for 5 years, and then destroy records.",1991-06-01,Current,Assessor
GRS-236,State tax commission reports,"These reports are two annual statements which are submitted to the State Tax Commission. The first is due before June 8 and the second before November 1. The county auditor will ""prepare from the assessment book of that year a statement showing in separate columns: total value of all property; total value of all real estate including patented mining claims, stated separately; value of improvements; the value of personal property exclusive of money; and the number of acres of land and the number of patented mining claims, state separately"" (UCA 59-2-322(1)(d) (2000)). The second statement reports ""the amount and value of all property in the county, as classified by the county assessment rolls, and the value of each class; the total amount of taxes remitted; the rate of county taxes"" (UCA 59-2-325 (2000)). This statement is made in duplicate upon blanks furnished by the state auditor. One copy is sent to the State Tax Commission and one to State Auditor.","Retain for 5 years, and then destroy records.",1991-03-01,Current,Auditor
GRS-296,County certificates of discharge,"These are notices of liens ""payable to the United States of America, other federal liens created under acts of Congress or regulation"" . . . ""shall be recorded in the office of the county recorder"" (UCA 38-6-1 (2003)). ""A certificate of discharge of any federal tax lien issued by the proper officer, is recorded in the office of the county recorder where the notice of lien is recorded"" (UCA 38-6-3?(2003)). The notice of lien is required to either be listed in an alphabetical federal lien index or by the grantor or grantee or grantor index(UCA 38-6-2 (2003)). The county recorder is also required to index the certificate of discharge (UCA 38-6-3 (2003)).",Permanent. Retain for 10 years after final action. Transfer records to the archives.,1991-09-01,Current,Recorder
GRS-406,Homebound meals case files,"These case files document participation in the Homebound Meals Program (or Meals-on-Wheel). This is a program which provides one meal a day, five days a week, to a homebound person over the age of sixty. The meals are delivered by staff or volunteers and clients make donations pursuant to a suggested donation. The files include client application, eligibility form, intake evaluation form, disclosure form, and any related correspondence.","Retain for 4 years after separation, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-468,Emergency services billings,"These are billings for transporting patients treated by Emergency Medical Services (EMS) personnel. Patients are billed ambulance costs for transporting to hospital facilities. They include account number, incident number, service date and time, patient information, insurance information, next of kin information, information on responsible party, services provided and charges, signature authorizing insurance payments, and signature of patient or next of kin recognizing financial responsibility.","Retain for 4 years, and then destroy records.",1996-01-01,Current,Fire Department
GRS-623,Aerial spray reports,"These reports document the acreage sprayed by air, the amount of chemical used to spray, and the cost of air time and materials used. This report includes pounds used per acre, date and time, area maps, plane rate, pilot, application cost, total cost, invoice number, and operator.",Retain permanently. Transfer records to the archives.,1996-01-01,Current,Mosquito Abatement
GRS-711,Compliance orders,"These orders are issued for violations of hazardous and solid waste regulations to bring landfill into compliance with the law. The orders include the name and address of the facility being cited, the order number, a description of the violations for which the company is being cited, the date of inspection that uncovered the violations, the date the notice of violation was issued, the steps the company is being required to take to correct the violations, the date on which the action(s) are to be completed, and the consequences of the failure to comply with the order.","Retain for 2 years, and then destroy records.",1995-11-01,Current,Solid Waste
GRS-791,Municipal revenue bonds,These bonds are issued by the city council payable solely from revenues attributable to the extension and improvement to revenue producing facilities (UCA 11-14-306 (2006)).,"Retain for 1 year after final action, and then destroy records.",1996-11-01,Current,Bonds and Bonding
GRS-420,Senior centers' quarterly report,"This is a quarterly report on all service units provided at senior centers. It is submitted to the aging and adult services administrative office and is used to compile reports for the State Division of Aging. This report includes senior center name, date, actual service units provided, service (general category access service, in-home, community service, other services, and transportation), year-to-date budget, actual budget, and current budget.","Retain for 4 years after completion of publication or report, and then destroy records.",1992-12-01,Current,Aging and Adult Services
GRS-531,Car seat rental agreements,"These contracts document the rental of car seats to individuals who choose not to buy their own. This program enables those individuals to comply with Utah Code 41-6a-1803(1)(a)(2018) which requires the use of child restraint devices. These contracts include the car seat number; the return date; the name, address, telephone number, drivers license number, and borrower's signature; the names and addresses of two individuals who will know the whereabouts of the borrower; a parental checklist that the borrower received training in the use of the car seat and that the seat was inspected; the amount paid; the dates issued and due; the seat condition when issued; and the receipt number. Some local health department also sell car seats.","Retain for 4 years after expiration of the contract, and then destroy records.",1992-12-01,Current,Administrative
GRS-570,Individual sewage disposal system records,"These files document the approval by the department for the construction of individual sewage treatment equipment, as authorized by UCA 26A-1-115(2) (2002). This form includes the property address, owner or mortgagor name, contractor's name, final inspection date, number of bedrooms, subdivision where property is located, lot number, whether the property has a basement, seepage rate, water supply type and source, water source description, a description of the septic tank (capacity, dimensions, access, etc.), seepage pit description, distribution box description, disposal field description, whether the construction is approved or not, and inspector's name.","Retain until final action, and then destroy records.",1992-12-01,Current,Health
GRS-600,Sexually transmitted disease case files,"These files are used in maintaining and locating medical information, and in the follow up of suspected individuals, cases and contacts with Sexually transmitted diseases (STD) and for controlling the spread of STDs. As stated in the Utah Code of Communicable Disease Rules, the Department of Health is required to maintain this information in order to promote the public health and to prevent and control the spread of disease. The files include laboratory test cards, interstate transmission control identification forms, gonorrhea epidemiologic control records, infectious syphilis epidemiologic control records, original interview information, reinterview record and cluster interview records.","Retain for 4 years after case is closed, and then destroy records.
OR
Retain for 21 years after date of birth, and then destroy records.",1992-12-01,Current,Health
GRS-590,Prenatal health case files,"These are case files for women who are eligible for the prenatal (PEPI) program. This program is for low income pregnant women who were presumed eligible for medicaid or who are on medicaid. The local health department performs an initial interview to determine the woman's eligibility. Once the woman is determined eligible she is assigned to a registered nurse who then contacts the client every month and performs home visits. Each of these components are documented in each client's chart. The client is maintained in the program for two months after the pregnancy ends. The case file includes prenatal care coordination tracking record form, nursing notes, prenatal initiative form, Utah Perinatal record system (UPRS), identification card, health insurance claim form, and release of information form. These case files may also be called ""Baby Your Baby case files.""","Retain for 7 years after case is closed, and then destroy records.",1992-12-01,Current,Health
GRS-616,"Women, infants, and children (wic) program financial records","These records document the expenditure of monies for projects funded under the WIC program. These records include receipts, check registers, and a variety of financial reports.","Retain for 3 years after completion of publication or report, and then destroy records.",1992-12-01,Current,Health
GRS-632,Larvae count reports,"These reports verify mosquito larvae quantities and types in specific areas. The field director and the inspectors use the report to identify mosquitoes, to determine whether they will be harmful, and for future follow up. This report includes date, section, area, species, amounts per dip, inspector's name, temperature, and operator.","Retain for 15 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-698,Utility license agreements,"These are agreements between the county and public utilities allowing them to extend or replace existing lines across the county right-of-way. They include date; grantee's name; purpose; location; length; contractor's name and address; engineering firm's name; agreement's conditions including protection of traffic, restoration of existing pavement, reconstruction of highway, and liability; notarized grantee's signature; and authorizing county signature.","Retain for 6 years after expiration of contractual agreement, and then destroy records.",1994-06-01,Current,Public Works
GRS-557,Family planning needs assessment reports,"This is a report submitted to the State Bureau of Family Planning showing the needs for family planning funds and the performance plan for the upcoming year. It is used in distributing grant money. It includes the local district name, the number of births to teens out of wedlock, abortion numbers, the infant mortality rate, the number of births in families below 150 percent of poverty, and the increase or decrease of each category from the previous year. The record copy of this report is retained by the State Bureau of Family Planning permanently.","Retain for 1 year, and then destroy records.",1992-12-01,Current,Health
GRS-671,"Class ""b"" road funding project files","These project files document the funding for Class ""B"" roads. Class ""B"" funding is money allocated to each county from the Transportation Fund (UCA 72-2-108 (2008)). The files include amount of funds allocated and how funds were spent for each project (man-hours, vehicle usage, and material used).","Retain for 3 years, and then destroy records.",1994-06-01,Current,Public Works
GRS-716,Groundwater monitoring report,"This is a report completed according to the groundwater monitoring schedule contained in the landfill permit. Includes samplers name, date samples were taken, well locations, quality control and chain of custody documents, analytical results, statistical analysis results, comments and signature.",Retain permanently. Transfer records to the archives.,1995-11-01,Current,Solid Waste
GRS-733,Delinquent property tax records,"These records document delinquent property taxes owed and paid. Information includes parcel data, penalties, receipts, redemption certificates and related records. These are not legal evidence of property ownership.","Retain for 5 years, and then destroy records.",2016-03-01,Current,Elected office
GRS-630,Grasshopper statistical records,"These records are used to verify the population of grasshoppers at a specific location. If large numbers of grasshoppers are found when the test is made, the district will spray. These records includes inspection data, location information, development stage of the grasshoppers, amount and type of spray used in the area.","Retain for 2 years, and then destroy records.",1996-01-01,Current,Mosquito Abatement
GRS-710,Asbestos waste records,"This report form is completed when asbestos is dumped at the landfill. Includes information on generator, work site name, address, owner's name, telephone number; operator's name and address; operator's phone number; waste disposal site name, mailing address and physical site location, and phone number; name and address of responsible agency; description of materials; containers (number, type); total quantity; special handling instructions and additional information; operator's certification (name, title, signature, and date); transporter's name and title; signature, date, address, and phone; disposal site; indication of any discrepancy certificates for asbestos; and name, title, and signature of person completing form, and date completed.",Retain permanently. Records may be transferred to the archives.,1995-11-01,Current,Solid Waste
